# step Etot Epot T p 
0 -4685.3438 -4685.3438 0.0 6592.2913 
5000 -4278.5495 -5183.1696 287.3898 360.1757 
10000 -4275.2825 -5221.3783 300.5663 -1020.8563 
15000 -4231.6751 -5178.9998 300.9567 -350.7306 
20000 -4277.9042 -5209.6633 296.0117 -280.5919 
25000 -4330.4752 -5273.2264 299.5038 -939.8169 
30000 -4278.1697 -5222.9658 300.1534 502.0249 
35000 -4203.2729 -5170.5211 307.2863 -267.9553 
40000 -4222.8926 -5195.1401 308.8745 346.713 
45000 -4327.8568 -5247.4326 292.1412 177.7608 
50000 -4344.424 -5244.4426 285.928 -289.995 
55000 -4298.4494 -5213.2458 290.6228 121.0894 
60000 -4227.6508 -5193.8139 306.9415 -945.5686 
65000 -4256.821 -5212.4132 303.5832 -683.3627 
70000 -4192.6588 -5167.7731 309.7853 249.3171 
75000 -4232.3235 -5177.1799 300.1726 -486.8336 
80000 -4218.2675 -5225.446 319.9718 -130.9257 
85000 -4246.7783 -5157.5443 289.3424 518.2362 
90000 -4272.6603 -5179.1119 287.9717 -137.4433 
95000 -4282.9879 -5210.6655 294.715 -264.8595 
100000 -4230.0306 -5170.7598 298.8614 -341.2151 
105000 -4303.7534 -5214.098 289.2085 377.0117 
110000 -4289.4357 -5205.3102 290.9653 144.6733 
115000 -4242.3872 -5209.6265 307.2834 29.8076 
120000 -4261.8574 -5219.4938 304.2327 -22.8702 
125000 -4324.0852 -5275.1065 302.1311 -800.1041 
130000 -4215.5963 -5142.1047 294.3436 -545.569 
135000 -4225.709 -5161.2945 297.2273 410.2802 
140000 -4282.8905 -5216.8016 296.6954 -821.5213 
145000 -4287.6499 -5205.6149 291.6294 -790.9276 
150000 -4258.8184 -5187.1169 294.9123 -964.1807 
155000 -4257.5625 -5212.6621 303.4268 -11.7334 
160000 -4306.569 -5245.9153 298.4221 -200.2983 
165000 -4169.7641 -5137.1218 307.321 -505.3252 
170000 -4270.9818 -5179.3305 288.5744 161.0208 
175000 -4194.8888 -5183.4879 314.0692 -275.768 
180000 -4274.2498 -5202.9054 295.0257 -832.8504 
185000 -4270.6834 -5211.9675 299.0377 95.8785 
190000 -4257.4522 -5184.277 294.4441 -77.7672 
195000 -4315.0521 -5234.6597 292.1513 330.931 
200000 -4344.25 -5273.8436 295.3237 377.4446 
205000 -4233.9411 -5119.1737 281.2306 -157.1944 
210000 -4267.0759 -5200.6622 296.5922 -11.9202 
215000 -4269.0168 -5174.6748 287.7196 -696.7634 
220000 -4272.053 -5250.5063 310.846 -66.4983 
225000 -4284.6254 -5231.9203 300.9473 326.4237 
230000 -4293.828 -5204.1721 289.2083 526.6223 
235000 -4291.7959 -5238.2845 300.6911 -279.151 
240000 -4266.0975 -5194.0192 294.7926 -790.7497 
245000 -4289.683 -5243.1777 302.9169 -612.9213 
250000 -4222.3649 -5190.5672 307.5893 -311.3229 
255000 -4292.7873 -5215.4158 293.111 -30.5644 
260000 -4314.9873 -5256.8556 299.2233 502.7265 
265000 -4252.6079 -5183.7256 295.8079 346.8132 
270000 -4259.4767 -5202.7685 299.6755 -7.0741 
275000 -4241.2302 -5204.0151 305.8683 -45.1982 
280000 -4282.012 -5242.854 305.2511 584.678 
285000 -4281.308 -5235.7403 303.2148 44.4031 
290000 -4222.8989 -5181.2727 304.4669 109.9975 
295000 -4328.7163 -5250.2352 292.7585 124.4091 
300000 -4293.148 -5234.5681 299.0809 200.6564 
305000 -4241.5149 -5201.5158 304.9839 156.5993 
310000 -4294.1853 -5264.4862 308.2561 -503.7782 
315000 -4292.1603 -5250.2075 304.3632 -360.6274 
320000 -4276.7902 -5218.493 299.1707 -1013.3671 
325000 -4263.1866 -5192.5283 295.2437 135.2859 
330000 -4269.1604 -5218.316 301.5384 -317.7305 
335000 -4247.445 -5175.6488 294.8822 -227.3563 
340000 -4300.6109 -5231.696 295.7976 -188.5133 
345000 -4280.1233 -5209.3165 295.1965 464.966 
350000 -4274.0442 -5218.1166 299.9235 -1106.8259 
355000 -4230.0825 -5159.339 295.2166 -488.1913 
360000 -4220.4766 -5196.0357 309.9266 -185.0349 
365000 -4286.149 -5199.4508 290.1479 -165.1774 
370000 -4341.4505 -5277.0111 297.2194 -454.298 
375000 -4273.7472 -5220.721 300.8453 -149.5392 
380000 -4254.596 -5195.341 298.8664 -211.2077 
385000 -4263.2039 -5223.133 304.9611 -367.419 
390000 -4309.6458 -5249.6918 298.6444 -297.5472 
395000 -4255.2441 -5226.9262 308.6949 141.11 
400000 -4325.6995 -5250.4558 293.787 -322.5721 
405000 -4277.1269 -5262.7969 313.1387 -259.8174 
410000 -4278.3486 -5213.589 297.1177 193.0838 
415000 -4313.0818 -5240.6644 294.6849 -655.4651 
420000 -4286.902 -5240.1033 302.8237 -518.3929 
425000 -4339.6055 -5217.0187 278.7465 -808.4502 
430000 -4224.6721 -5175.29 302.0029 234.5669 
435000 -4236.9163 -5170.6347 296.6341 -1213.9636 
440000 -4285.5785 -5204.4156 291.9065 -71.3467 
445000 -4268.2874 -5244.6607 310.1852 -619.3914 
450000 -4231.1197 -5201.2461 308.2007 317.1549 
455000 -4253.7344 -5185.8452 296.1234 407.3301 
460000 -4315.3492 -5233.1479 291.5766 -862.5583 
465000 -4301.4592 -5213.8362 289.8542 -291.2714 
470000 -4201.8791 -5157.2087 303.4998 -742.4842 
475000 -4204.5571 -5166.9565 305.7458 161.725 
480000 -4257.5403 -5210.3096 302.6864 63.9788 
485000 -4278.8021 -5201.2453 293.0521 -526.3527 
490000 -4201.5953 -5199.8089 317.1237 131.1201 
495000 -4219.0512 -5158.9693 298.6037 305.1649 
500000 -4230.5322 -5176.5485 300.5411 -686.6315 
