ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:       0         0.0000         0.0000         0.0000         0.0000          -5460.6138       775.2700         0.0000         0.0000         0.0000          -4685.3438         0.0000     -4685.3438     -4684.5858         0.0000           6592.2913      6604.3783     23823.1240      6592.2913      6604.3783
ENERGY:    5000         0.0000         0.0000         0.0000         0.0000          -5706.0392       522.8696         0.0000         0.0000       904.6200          -4278.5495       287.3898     -5183.1696     -4276.7106       274.6500            360.1757       387.7435     23249.2075      -237.7471      -237.6059
ENERGY:   10000         0.0000         0.0000         0.0000         0.0000          -5587.3902       366.0119         0.0000         0.0000       946.0958          -4275.2825       300.5663     -5221.3783     -4273.3695       298.7696          -1020.8563     -1008.0387     22862.6091      -211.3842      -211.4882
ENERGY:   15000         0.0000         0.0000         0.0000         0.0000          -5583.5139       404.5140         0.0000         0.0000       947.3247          -4231.6751       300.9567     -5178.9998     -4229.2688       303.7464           -350.7306      -328.9589     23086.2791      -200.8280      -200.8323
ENERGY:   20000         0.0000         0.0000         0.0000         0.0000          -5595.3588       385.6955         0.0000         0.0000       931.7591          -4277.9042       296.0117     -5209.6633     -4276.7427       296.3981           -280.5919      -258.1285     22691.4478      -229.6023      -229.5983
ENERGY:   25000         0.0000         0.0000         0.0000         0.0000          -5641.8240       368.5976         0.0000         0.0000       942.7512          -4330.4752       299.5038     -5273.2264     -4329.8669       296.7677           -939.8169      -910.0218     22748.7656      -192.5733      -192.4973
ENERGY:   30000         0.0000         0.0000         0.0000         0.0000          -5640.6121       417.6463         0.0000         0.0000       944.7961          -4278.1697       300.1534     -5222.9658     -4276.4022       299.2005            502.0249       520.2289     22398.8400      -290.8212      -290.7758
ENERGY:   35000         0.0000         0.0000         0.0000         0.0000          -5571.7514       401.2303         0.0000         0.0000       967.2482          -4203.2729       307.2863     -5170.5211     -4201.8682       300.0892           -267.9553      -250.2260     22940.0810      -277.7490      -277.9158
ENERGY:   40000         0.0000         0.0000         0.0000         0.0000          -5612.1263       416.9862         0.0000         0.0000       972.2475          -4222.8926       308.8745     -5195.1401     -4221.1047       303.6043            346.7130       358.5517     22609.4345      -249.8596      -249.7652
ENERGY:   45000         0.0000         0.0000         0.0000         0.0000          -5686.6837       439.2510         0.0000         0.0000       919.5758          -4327.8568       292.1412     -5247.4326     -4325.2660       296.7087            177.7608       199.5895     22627.9243      -248.2705      -248.1974
ENERGY:   50000         0.0000         0.0000         0.0000         0.0000          -5628.9437       384.5011         0.0000         0.0000       900.0186          -4344.4240       285.9280     -5244.4426     -4342.5954       294.9056           -289.9950      -265.6753     22501.6901      -232.9822      -232.9520
