# frame +z -z 
10 0 0
20 0 0
30 0 0
40 0 0
50 0 0
60 0 0
70 0 0
80 0 0
90 0 0
100 0 0
110 0 0
120 0 0
130 0 0
140 0 0
150 2 0
160 3 0
170 3 0
180 5 0
190 5 0
200 5 0
210 5 0
220 5 0
230 7 0
240 7 0
250 8 0
260 10 0
270 10 0
280 10 0
290 11 1
300 13 2
310 13 2
320 13 2
330 14 2
340 14 2
350 14 2
360 15 4
370 15 4
380 15 4
390 15 4
400 15 4
410 15 4
420 15 4
430 16 4
440 17 4
450 17 4
460 17 4
470 17 4
480 17 4
490 18 4
500 18 4
510 18 4
520 18 4
530 18 4
540 18 4
550 18 5
560 19 5
570 20 5
580 21 5
590 22 5
600 22 5
610 23 5
620 23 5
630 23 5
640 23 5
650 23 5
660 23 6
670 23 6
680 23 6
690 23 6
700 23 6
710 23 6
720 26 6
730 26 6
740 26 7
750 27 7
760 27 8
770 28 9
780 28 9
790 28 9
800 28 9
810 28 9
820 28 9
830 28 10
840 28 10
850 28 10
860 28 10
870 28 12
880 29 12
890 29 12
900 29 12
910 29 12
920 29 12
930 29 12
940 30 12
950 31 12
960 31 12
970 33 13
980 33 13
990 33 13
1000 33 13
