# step Etot Epot T p 
0 -4231.9331 -5176.5485 300.096 -3055.3307 
500 -3986.5978 -4995.0125 320.3645 754.1825 
1000 -3962.9708 -5069.6784 351.5913 122.0616 
1500 -4026.4086 -5014.0133 313.7534 1106.7873 
2000 -4042.7917 -5051.7972 320.5522 1007.7628 
2500 -4049.4717 -5029.256 311.2689 1544.3587 
3000 -4062.8868 -5057.0369 315.8328 1815.4884 
3500 -4030.9435 -5033.707 318.5691 2334.0719 
4000 -4000.6525 -5029.1341 326.7396 3300.3908 
4500 -4039.1984 -5016.4746 310.4721 3589.7491 
5000 -4047.8202 -5066.1844 323.5254 3128.4378 
5500 -4045.6304 -5034.8778 314.2752 3532.7221 
6000 -4082.455 -5044.4212 305.6082 3230.0373 
6500 -4147.0181 -5143.1243 316.4542 3461.2459 
7000 -4137.1629 -5105.1115 307.5088 4255.1695 
7500 -4178.1006 -5134.8916 303.9641 3753.4931 
8000 -4184.31 -5137.0774 302.6859 4111.0622 
8500 -4159.2859 -5071.276 289.7312 4662.463 
9000 -4155.8776 -5084.1596 294.907 4807.8181 
9500 -4183.5215 -5169.1375 313.1216 3502.861 
10000 -4146.4307 -5127.8865 311.7999 5172.4246 
10500 -4100.7599 -5089.7069 314.1798 5713.7331 
11000 -4137.4469 -5096.5309 304.6926 5505.9882 
11500 -4108.1974 -5082.2469 309.447 5202.5407 
12000 -4130.2206 -5099.4731 307.923 4941.0146 
12500 -4126.065 -5089.9291 306.2112 4568.5094 
13000 -4125.4147 -5079.6738 303.1597 5913.0728 
13500 -4139.7206 -5092.8465 302.7997 5958.422 
14000 -4160.1487 -5092.5127 296.2038 5079.8182 
14500 -4160.928 -5100.3173 298.4357 6403.2493 
15000 -4170.3016 -5135.8291 306.7396 5885.0666 
15500 -4120.7628 -5105.6418 312.8874 6639.9964 
16000 -4088.4292 -5050.3351 305.589 7737.38 
16500 -4108.4951 -5096.3305 313.8266 7316.1105 
17000 -4110.8919 -5114.834 318.9436 6862.8884 
17500 -4119.7887 -5115.3173 316.2707 7058.9637 
18000 -4165.0183 -5110.4692 300.3615 6459.7182 
18500 -4172.8039 -5115.6411 299.5311 7432.4168 
19000 -4200.1576 -5152.381 302.513 7092.1142 
19500 -4161.2544 -5136.9781 309.9788 7104.4857 
20000 -4147.4294 -5137.0046 314.3793 6993.0222 
20500 -4153.1958 -5102.7976 301.6801 7339.9533 
21000 -4120.3698 -5092.0676 308.6999 6590.4596 
21500 -4089.0201 -5090.9529 318.3053 8175.928 
22000 -4092.3563 -5042.5222 301.8594 7309.5024 
22500 -4061.4967 -5058.5898 316.7677 7592.8339 
23000 -4031.5289 -5070.7402 330.1483 7083.0868 
23500 -4106.2899 -5053.2943 300.855 8126.3476 
24000 -4098.8003 -5068.659 308.1156 7718.2784 
24500 -4155.025 -5132.0156 310.3813 6936.4335 
25000 -4105.0307 -5067.6807 305.8255 8368.4819 
25500 -4143.0093 -5119.202 310.1278 8242.6063 
26000 -4181.3425 -5164.3907 312.3058 8714.5579 
26500 -4182.8298 -5107.9584 293.9052 7746.3429 
27000 -4149.2756 -5089.3206 298.644 8101.2201 
27500 -4149.4303 -5155.5415 319.6327 7862.0993 
28000 -4173.583 -5130.3259 303.9488 7811.6752 
28500 -4162.6802 -5106.1604 299.7354 7855.1716 
29000 -4165.7886 -5137.6128 308.74 7292.9832 
29500 -4119.1691 -5098.9417 311.2652 8411.4462 
30000 -4117.9294 -5102.4739 312.7811 8500.0714 
30500 -4128.6485 -5083.1211 303.2276 9428.6778 
31000 -4131.6664 -5132.4638 317.9446 8881.1262 
31500 -4108.4583 -5075.8012 307.3163 9010.7563 
32000 -4161.6045 -5100.1958 298.1822 8597.4251 
32500 -4133.8642 -5088.7604 303.3622 9218.4039 
33000 -4153.2441 -5114.0797 305.249 9016.5041 
33500 -4206.0338 -5154.5728 301.3425 8572.1198 
34000 -4169.1387 -5138.4228 307.9331 9834.0119 
34500 -4124.2251 -5102.6046 310.8226 9181.8167 
35000 -4208.999 -5162.8751 303.0381 9519.6547 
35500 -4167.4593 -5119.8841 302.577 9270.2692 
36000 -4132.3497 -5128.9197 316.6015 9560.0692 
36500 -4155.0044 -5103.8462 301.4387 9137.4145 
37000 -4142.1931 -5094.4387 302.52 10266.9602 
37500 -4161.7731 -5125.4593 306.1546 9437.3357 
38000 -4135.6155 -5092.3333 303.9409 9250.5715 
38500 -4127.3002 -5121.96 315.9947 11178.3434 
39000 -4135.6284 -5102.8429 307.2755 8997.0838 
39500 -4161.1425 -5100.7045 298.4906 8845.0704 
40000 -4144.7149 -5115.7719 308.4963 9300.1334 
40500 -4086.9046 -5044.0202 304.0672 9642.8039 
41000 -4122.9321 -5088.3359 306.7003 10058.4673 
41500 -4128.4744 -5096.0061 307.3763 9754.1164 
42000 -4138.6362 -5078.7679 298.6716 10284.0883 
42500 -4166.4484 -5128.4839 305.6302 9580.0641 
43000 -4174.6103 -5135.1411 305.1522 9753.9111 
43500 -4124.0038 -5068.5045 300.0596 10354.0353 
44000 -4142.4079 -5118.2279 310.0094 10018.1209 
44500 -4134.3756 -5133.5291 317.4223 10209.8115 
45000 -4118.8233 -5065.5973 300.7818 10164.3582 
45500 -4194.5044 -5119.2475 293.7828 10451.7383 
46000 -4171.3378 -5124.6012 302.8434 10011.7588 
46500 -4142.5755 -5119.8296 310.465 10159.5122 
47000 -4137.0158 -5123.2163 313.3072 9132.8591 
47500 -4141.2898 -5093.0845 302.3768 10766.2092 
48000 -4127.6541 -5097.3547 308.0654 10257.8706 
48500 -4097.69 -5063.2131 306.7382 10661.9555 
49000 -4088.0817 -5115.3689 326.3601 10239.5494 
49500 -4102.4264 -5103.9891 318.1877 9915.7706 
50000 -4152.9858 -5156.9822 318.9609 10030.4613 
50500 -4145.7516 -5086.982 299.0206 11055.8524 
51000 -4174.7366 -5137.0544 305.7199 10631.718 
51500 -4253.904 -5177.1134 293.2955 9915.8226 
52000 -4210.4522 -5168.5983 304.3946 11243.5406 
52500 -4209.1742 -5164.2408 303.4163 11110.8462 
53000 -4175.8504 -5143.2368 307.3301 10827.2293 
53500 -4185.1471 -5109.8824 293.7803 9765.3591 
54000 -4164.5008 -5144.7627 311.4206 10818.1127 
54500 -4202.6284 -5137.4513 296.985 10629.8433 
55000 -4112.5429 -5078.3193 306.8187 10583.8965 
55500 -4152.1657 -5087.7373 297.2229 10012.9948 
56000 -4183.3631 -5123.2971 298.6088 10244.7511 
56500 -4163.7457 -5141.2353 310.5399 10273.0773 
57000 -4167.3515 -5093.7784 294.3177 10539.6036 
57500 -4174.7144 -5114.8468 298.6718 10482.1781 
58000 -4171.5478 -5151.6219 311.3609 10790.4115 
58500 -4128.0931 -5081.4927 302.8867 11097.3614 
59000 -4126.3864 -5124.9114 317.2226 10442.5037 
59500 -4166.4708 -5113.3235 300.8068 11850.3892 
60000 -4177.3245 -5127.5526 301.8791 10807.0621 
60500 -4135.1731 -5128.5832 315.5977 10769.7551 
61000 -4164.7488 -5139.1074 309.5452 11249.5879 
61500 -4159.7271 -5137.6681 310.6833 11021.7772 
62000 -4153.9471 -5042.4916 282.2828 11075.6401 
62500 -4183.9085 -5138.0707 303.129 10077.1185 
63000 -4174.5435 -5143.2906 307.7625 10812.9842 
63500 -4170.0983 -5135.9309 306.8365 10723.9638 
64000 -4218.3295 -5132.7036 290.4886 10746.5004 
64500 -4191.962 -5150.5667 304.5403 11675.0818 
65000 -4206.1608 -5136.7439 295.6381 10963.5906 
65500 -4195.7965 -5115.7067 292.2474 10853.4832 
66000 -4198.0771 -5143.0122 300.1976 10834.7982 
66500 -4165.8169 -5128.0602 305.6962 10482.5731 
67000 -4138.8906 -5116.6523 310.6263 10434.5255 
67500 -4167.7651 -5110.6947 299.5604 10730.459 
68000 -4151.2536 -5133.9109 312.1816 11230.6443 
68500 -4116.8881 -5072.6325 303.6316 12027.6627 
69000 -4180.1449 -5125.5803 300.3565 10882.2221 
69500 -4114.742 -5068.6935 303.062 10730.0255 
70000 -4167.9841 -5124.8458 303.9866 10966.414 
70500 -4140.7984 -5121.2373 311.4768 11979.7739 
71000 -4120.2562 -5090.5738 308.2614 12295.8141 
71500 -4159.2772 -5129.7982 308.326 10847.1742 
72000 -4179.5642 -5104.0795 293.7104 10996.9881 
72500 -4167.5481 -5126.3653 304.6078 11743.4286 
73000 -4121.5084 -5101.2586 311.258 11376.3531 
73500 -4108.9088 -5114.1415 319.3536 11933.5177 
74000 -4190.1415 -5128.1325 297.9915 10773.9109 
74500 -4155.5764 -5142.8968 313.663 12071.0884 
75000 -4188.3819 -5160.0413 308.6877 12140.1119 
75500 -4142.4606 -5124.8253 312.0886 12325.5615 
76000 -4204.0289 -5165.7759 305.5386 11152.8746 
76500 -4147.8869 -5100.617 302.674 12264.1594 
77000 -4137.7275 -5090.8205 302.7893 11509.6333 
77500 -4154.2975 -5115.3061 305.304 11729.056 
78000 -4107.3778 -5086.2759 310.9873 11364.7717 
78500 -4101.4801 -5088.081 313.4344 10619.5781 
79000 -4120.6741 -5092.5739 308.764 12313.3523 
79500 -4143.8389 -5094.6344 302.0594 11338.3473 
80000 -4182.3456 -5142.962 305.1794 11102.2755 
80500 -4178.9815 -5151.6646 309.0129 11413.7866 
81000 -4133.8333 -5130.9357 316.7707 11379.0649 
81500 -4163.3675 -5126.6665 306.0316 12650.8191 
82000 -4163.4713 -5111.1549 301.0708 12591.9232 
82500 -4152.2357 -5095.6632 299.7186 11597.2208 
83000 -4162.4782 -5138.7437 310.151 11156.1601 
83500 -4176.134 -5163.7528 313.7578 12346.5091 
84000 -4203.9054 -5146.591 299.4829 12449.3353 
84500 -4240.116 -5180.914 298.8833 11422.4494 
85000 -4222.6214 -5167.0381 300.0329 11684.3137 
85500 -4213.5598 -5155.6822 299.304 11919.5517 
86000 -4127.6223 -5101.9383 309.5316 13623.4553 
86500 -4146.4179 -5130.6339 312.6768 13483.4945 
87000 -4163.9811 -5101.7488 297.9206 13033.4928 
87500 -4127.8949 -5086.664 304.5925 12754.697 
88000 -4214.9483 -5150.7685 297.3019 12268.5102 
88500 -4165.5138 -5103.6481 298.0371 12127.6545 
89000 -4175.3227 -5129.537 303.1455 12941.8791 
89500 -4179.6729 -5111.9645 296.1809 11898.7383 
90000 -4204.0376 -5136.675 296.2907 12227.2789 
90500 -4150.2933 -5134.9524 312.8176 12773.3206 
91000 -4130.2999 -5128.6333 317.1618 13999.3653 
91500 -4152.3736 -5122.7866 308.2917 13289.1852 
92000 -4146.5617 -5098.0354 302.2749 13091.9136 
92500 -4134.2052 -5072.3105 298.0278 13183.7361 
93000 -4114.1877 -5086.3187 308.8375 13613.0218 
93500 -4148.5998 -5115.3208 307.1188 13213.3839 
94000 -4161.2959 -5102.3537 298.9658 13856.3607 
94500 -4146.1683 -5100.9687 303.3317 12807.1036 
95000 -4144.8306 -5109.4001 306.4353 13269.2075 
95500 -4160.8418 -5118.5628 304.2596 12973.0948 
96000 -4155.7124 -5134.6768 311.0084 14637.253 
96500 -4183.0542 -5143.815 305.2253 13199.9968 
97000 -4222.1846 -5157.2944 297.0762 13480.4846 
97500 -4179.2273 -5130.4682 302.2009 13668.677 
98000 -4177.4688 -5140.5612 305.966 13699.5066 
98500 -4174.2679 -5133.232 304.6545 14021.0058 
99000 -4189.2831 -5155.0736 306.8231 13825.4432 
99500 -4207.7122 -5121.2958 290.2375 14548.1875 
100000 -4194.821 -5159.3259 306.4148 14805.0483 
