ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:       0         0.0000         0.0000         0.0000         0.0000          -5537.6013       361.0528         0.0000         0.0000       944.6154          -4231.9331       300.0960     -5176.5485     -4230.0369       300.0960          -3055.3307     -3046.5865     22851.6551     -3055.3307     -3046.5865
ENERGY:     500         0.0000         0.0000         0.0000         0.0000          -5461.1792       466.1667         0.0000         0.0000      1008.4147          -3986.5978       320.3645     -4995.0125     -3983.6402       325.2896            754.1825       780.1995     22851.6551      -921.6206      -922.4927
ENERGY:    1000         0.0000         0.0000         0.0000         0.0000          -5556.9359       487.2576         0.0000         0.0000      1106.7076          -3962.9708       351.5913     -5069.6784     -3959.7602       328.5591            122.0616       141.4952     22851.6551       973.5342       973.0062
ENERGY:    1500         0.0000         0.0000         0.0000         0.0000          -5533.8113       519.7980         0.0000         0.0000       987.6047          -4026.4086       313.7534     -5014.0133     -4023.2870       326.5331           1106.7873      1136.9392     22851.6551      1313.6084      1313.2551
ENERGY:    2000         0.0000         0.0000         0.0000         0.0000          -5601.5886       549.7913         0.0000         0.0000      1009.0056          -4042.7917       320.5522     -5051.7972     -4040.2724       324.1051           1007.7628      1029.0204     22851.6551      1179.6346      1180.1186
ENERGY:    2500         0.0000         0.0000         0.0000         0.0000          -5574.7484       545.4924         0.0000         0.0000       979.7843          -4049.4717       311.2689     -5029.2560     -4048.2510       317.6177           1544.3587      1573.7403     22851.6551       977.0982       976.9950
ENERGY:    3000         0.0000         0.0000         0.0000         0.0000          -5591.8538       534.8168         0.0000         0.0000       994.1501          -4062.8868       315.8328     -5057.0369     -4060.5340       313.2264           1815.4884      1822.5539     22851.6551      1490.6301      1490.3261
ENERGY:    3500         0.0000         0.0000         0.0000         0.0000          -5586.5113       552.8043         0.0000         0.0000      1002.7635          -4030.9435       318.5691     -5033.7070     -4029.1053       315.5578           2334.0719      2343.0956     22851.6551      1861.3122      1861.2871
ENERGY:    4000         0.0000         0.0000         0.0000         0.0000          -5590.6157       561.4816         0.0000         0.0000      1028.4816          -4000.6525       326.7396     -5029.1341     -3998.8300       320.9056           3300.3908      3316.1899     22851.6551      2638.1101      2638.1108
ENERGY:    4500         0.0000         0.0000         0.0000         0.0000          -5591.7556       575.2810         0.0000         0.0000       977.2762          -4039.1984       310.4721     -5016.4746     -4036.9286       321.9767           3589.7491      3600.5857     22851.6551      3274.6478      3274.1540
