# frame +z -z 
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 1
9 0 2
10 0 2
11 0 4
12 0 6
13 0 8
14 0 12
15 0 14
16 0 17
17 0 19
18 0 21
19 0 23
20 0 24
21 0 29
22 0 32
23 0 36
24 0 38
25 0 41
26 0 44
27 0 45
28 0 47
29 0 49
30 0 51
31 0 54
32 0 58
33 0 59
34 0 62
35 0 65
36 0 68
37 0 71
38 0 75
39 0 76
40 0 79
41 0 82
42 0 85
43 0 86
44 0 88
45 0 89
46 0 91
47 0 94
48 0 99
49 0 99
50 0 103
51 0 104
52 0 107
53 0 110
54 0 112
55 0 114
56 0 116
57 0 119
58 0 122
59 0 124
60 0 126
61 0 128
62 0 131
63 0 134
64 0 137
65 0 139
66 0 141
67 0 145
68 0 147
69 0 149
70 0 151
71 0 154
72 0 156
73 0 158
74 0 160
75 0 167
76 0 171
77 0 173
78 0 175
79 0 178
80 0 182
81 0 183
82 0 186
83 0 188
84 0 190
85 0 191
86 0 194
87 0 197
88 0 199
89 0 200
90 0 202
91 0 206
92 0 207
93 0 209
94 0 212
95 0 214
96 0 215
97 0 216
98 0 220
99 0 223
100 0 225
101 0 225
102 0 229
103 0 231
104 0 234
105 0 239
106 0 240
107 0 243
108 0 243
109 0 246
110 0 248
111 0 251
112 0 252
113 0 254
114 0 254
115 0 258
116 0 261
117 0 265
118 0 266
119 0 270
120 0 271
121 0 275
122 0 276
123 0 278
124 0 281
125 0 282
126 0 284
127 0 286
128 0 290
129 0 294
130 0 297
131 0 298
132 0 301
133 0 304
134 0 307
135 0 309
136 0 311
137 0 314
138 0 317
139 0 318
140 0 321
141 0 323
142 0 327
143 0 330
144 0 333
145 0 335
146 0 337
147 0 341
148 0 346
149 0 348
150 0 351
151 0 352
152 0 355
153 0 356
154 0 358
155 0 360
156 0 362
157 0 365
158 0 370
159 0 371
160 0 375
161 0 377
162 0 380
163 0 383
164 0 386
165 0 390
166 0 394
167 0 397
168 0 400
169 0 403
170 0 405
171 0 408
172 0 412
173 0 414
174 0 418
175 0 419
176 0 424
177 0 427
178 0 428
179 0 430
180 0 431
181 0 433
182 0 435
183 0 436
184 0 440
185 0 440
186 0 442
187 0 446
188 0 448
189 0 451
190 0 454
191 0 456
192 0 458
193 0 460
194 0 462
195 0 466
196 0 468
197 0 470
198 0 474
199 0 477
200 0 480
