# step Etot Epot T p 
0 1816524788.1874 1816524788.1874 0.0 99999999999.9999 
1 32698391.7707 32698391.7707 0.0 4477098043.5113 
2 2347711.1621 2347711.1621 0.0 341882935.2984 
3 316468.9414 316468.9414 0.0 40013855.4862 
4 66014.7245 66014.7245 0.0 6760600.4839 
5 22613.317 22613.317 0.0 1711528.0193 
6 12888.9152 12888.9152 0.0 712696.4569 
7 10328.2903 10328.2903 0.0 470673.2842 
8 9573.8827 9573.8827 0.0 404637.6975 
9 4143.2817 4143.2817 0.0 240249.2499 
10 1486.9312 1486.9312 0.0 131633.4475 
11 98.3853 98.3853 0.0 94008.8228 
12 -632.8273 -632.8273 0.0 76244.527 
13 -1159.0593 -1159.0593 0.0 63184.2449 
14 -1716.3026 -1716.3026 0.0 50835.0103 
15 -2094.1163 -2094.1163 0.0 41493.284 
16 -2317.8503 -2317.8503 0.0 34348.0889 
17 -2698.9304 -2698.9304 0.0 32151.6589 
18 -2810.2681 -2810.2681 0.0 30868.4874 
19 -2670.5519 -2670.5519 0.0 30136.7825 
20 -2810.6456 -2810.6456 0.0 28830.2453 
21 -2810.7994 -2810.7994 0.0 28800.8526 
22 -2990.5338 -2990.5338 0.0 25170.3366 
23 -3078.0143 -3078.0143 0.0 23179.6449 
24 -3060.8073 -3060.8073 0.0 22488.2397 
25 -3085.5466 -3085.5466 0.0 22787.4252 
26 -3085.4749 -3085.4749 0.0 22731.33 
27 -3085.5767 -3085.5767 0.0 22767.0755 
28 -3204.6909 -3204.6909 0.0 21807.6154 
29 -3287.0213 -3287.0213 0.0 21195.7503 
30 -3419.8707 -3419.8707 0.0 17497.4469 
31 -3503.5933 -3503.5933 0.0 16341.72 
32 -3537.6996 -3537.6996 0.0 15319.7145 
33 -3518.6409 -3518.6409 0.0 14491.6742 
34 -3538.3717 -3538.3717 0.0 15177.6056 
35 -3538.2038 -3538.2038 0.0 15101.2836 
36 -3538.3719 -3538.3719 0.0 15169.9103 
37 -3678.1818 -3678.1818 0.0 13707.4116 
38 -3775.9412 -3775.9412 0.0 12630.8102 
39 -3808.2552 -3808.2552 0.0 12590.5259 
40 -3830.8339 -3830.8339 0.0 12625.9595 
41 -3842.2108 -3842.2108 0.0 12754.1027 
42 -3839.6164 -3839.6164 0.0 13007.3444 
43 -3843.0784 -3843.0784 0.0 12821.4377 
44 -3843.0601 -3843.0601 0.0 12836.96 
45 -3843.0799 -3843.0799 0.0 12824.9622 
46 -3872.2197 -3872.2197 0.0 12590.4564 
47 -3887.8116 -3887.8116 0.0 12458.1839 
48 -3887.6878 -3887.6878 0.0 12452.5022 
49 -3889.864 -3889.864 0.0 12437.8889 
50 -3889.8472 -3889.8472 0.0 12437.6878 
51 -3889.8642 -3889.8642 0.0 12437.8489 
52 -3968.8527 -3968.8527 0.0 11413.1538 
53 -4042.7705 -4042.7705 0.0 10601.2434 
54 -4094.1499 -4094.1499 0.0 10017.4001 
55 -4162.4063 -4162.4063 0.0 9978.1289 
56 -4178.8663 -4178.8663 0.0 9913.063 
57 -4141.5667 -4141.5667 0.0 9838.2821 
58 -4179.8183 -4179.8183 0.0 9926.7549 
59 -4259.2798 -4259.2798 0.0 9087.9479 
60 -4316.9932 -4316.9932 0.0 8388.814 
61 -4348.9588 -4348.9588 0.0 8155.9556 
62 -4374.7338 -4374.7338 0.0 7959.8054 
63 -4416.2319 -4416.2319 0.0 7602.1559 
64 -4423.9095 -4423.9095 0.0 7209.1823 
65 -4397.5689 -4397.5689 0.0 6792.7846 
66 -4425.1608 -4425.1608 0.0 7319.328 
67 -4532.1236 -4532.1236 0.0 6049.1936 
68 -4602.2462 -4602.2462 0.0 4621.3212 
69 -4633.9143 -4633.9143 0.0 3025.4654 
70 -4624.7373 -4624.7373 0.0 1255.9051 
71 -4635.5814 -4635.5814 0.0 2547.2666 
72 -4635.4853 -4635.4853 0.0 2422.226 
73 -4635.5819 -4635.5819 0.0 2534.7943 
74 -4677.8712 -4677.8712 0.0 2596.2811 
75 -4710.3973 -4710.3973 0.0 2672.0131 
76 -4718.2057 -4718.2057 0.0 2890.9539 
77 -4725.0821 -4725.0821 0.0 3111.3443 
78 -4731.1826 -4731.1826 0.0 3120.6995 
79 -4737.0412 -4737.0412 0.0 3131.2519 
80 -4742.6356 -4742.6356 0.0 3090.6913 
81 -4748.0438 -4748.0438 0.0 3051.3765 
82 -4753.2297 -4753.2297 0.0 3001.8891 
83 -4758.2432 -4758.2432 0.0 2953.6111 
84 -4763.0494 -4763.0494 0.0 2905.2658 
85 -4767.6969 -4767.6969 0.0 2857.9643 
86 -4772.1553 -4772.1553 0.0 2812.9671 
87 -4776.477 -4776.477 0.0 2768.7844 
88 -4780.6414 -4780.6414 0.0 2727.3132 
89 -4784.711 -4784.711 0.0 2686.3128 
90 -4788.6756 -4788.6756 0.0 2647.9041 
